Company,Market Cap (Rs Cr),1Y Return %,Period,Sales Growth Y1 %,Sales Growth Y2 %,Sales Growth Y3 %,Latest Sales (Rs Cr),URL
HDFC Bank,1262292.8,-16.0,Mar 2023 -> Mar 2026,66.12,18.59,3.64,348615.0,https://www.screener.in/company/HDFCBANK/consolidated/
ICICI Bank,1036177.23,1.0,Mar 2023 -> Mar 2026,31.76,16.81,4.77,195218.0,https://www.screener.in/company/ICICIBANK/consolidated/
Axis Bank,413291.92,21.0,Mar 2023 -> Mar 2026,28.94,12.96,4.05,132538.0,https://www.screener.in/company/AXISBANK/consolidated/
Kotak Mah. Bank,387897.72,-9.0,Mar 2023 -> Mar 2026,33.42,16.77,6.26,69781.0,https://www.screener.in/company/KOTAKBANK/consolidated/
IDBI Bank,93567.4,-12.0,Mar 2023 -> Mar 2026,28.43,9.34,0.36,29020.0,https://www.screener.in/company/IDBI/consolidated/
Federal Bank,86165.49,64.0,Mar 2023 -> Mar 2026,32.3,19.27,5.58,29674.0,https://www.screener.in/company/FEDERALBNK/consolidated/
IDFC First Bank,69236.82,10.0,Mar 2023 -> Mar 2026,33.41,20.38,11.09,40549.0,https://www.screener.in/company/IDFCFIRSTB/
RBL Bank,57002.42,40.0,Mar 2023 -> Mar 2026,28.08,13.27,2.12,14336.0,https://www.screener.in/company/RBLBANK/
Karur Vysya Bank,29942.41,39.0,Mar 2023 -> Mar 2026,26.02,17.84,14.42,11074.0,https://www.screener.in/company/KARURVYSYA/
City Union Bank,22256.05,41.0,Mar 2023 -> Mar 2026,11.82,10.68,17.76,6870.0,https://www.screener.in/company/CUB/
J & K Bank,20117.5,60.0,Mar 2023 -> Mar 2026,19.86,11.84,4.86,13151.0,https://www.screener.in/company/J&KBANK/consolidated/
T N Merc. Bank,12626.15,75.0,Mar 2023 -> Mar 2026,18.79,9.14,9.98,5819.0,https://www.screener.in/company/TMB/
South Ind.Bank,11676.57,49.0,Mar 2023 -> Mar 2026,19.08,9.29,4.6,9846.0,https://www.screener.in/company/SOUTHBANK/
CSB Bank,6397.29,-14.0,Mar 2023 -> Mar 2026,26.21,22.85,25.24,4505.0,https://www.screener.in/company/CSBBANK/
DCB Bank,6117.22,29.0,Mar 2023 -> Mar 2026,27.67,20.68,14.42,7404.0,https://www.screener.in/company/DCBBANK/
Dhanlaxmi Bank,1336.45,13.0,Mar 2023 -> Mar 2026,12.7,9.36,21.29,1601.0,https://www.screener.in/company/DHANBANK/
