Company,Market Cap (Rs Cr),1Y Return %,Period,Sales Growth Y1 %,Sales Growth Y2 %,Sales Growth Y3 %,Sales Growth Y4 %,Sales Growth Y5 %,Latest Sales (Rs Cr),URL
HDFC Bank,1262292.8,-16.0,Mar 2021 -> Mar 2026,5.74,25.61,66.12,18.59,3.64,348615.0,https://www.screener.in/company/HDFCBANK/consolidated/
ICICI Bank,1036177.23,1.0,Mar 2021 -> Mar 2026,7.0,26.9,31.76,16.81,4.77,195218.0,https://www.screener.in/company/ICICIBANK/consolidated/
Axis Bank,413291.92,21.0,Mar 2021 -> Mar 2026,6.91,27.02,28.94,12.96,4.05,132538.0,https://www.screener.in/company/AXISBANK/consolidated/
Kotak Mah. Bank,387897.72,-9.0,Mar 2021 -> Mar 2026,2.8,24.93,33.42,16.77,6.26,69781.0,https://www.screener.in/company/KOTAKBANK/consolidated/
Federal Bank,86165.49,64.0,Mar 2021 -> Mar 2026,0.48,23.85,32.3,19.27,5.58,29674.0,https://www.screener.in/company/FEDERALBNK/consolidated/
IDFC First Bank,69236.82,10.0,Mar 2021 -> Mar 2026,7.55,32.35,33.41,20.38,11.09,40549.0,https://www.screener.in/company/IDFCFIRSTB/
Karur Vysya Bank,29942.41,39.0,Mar 2021 -> Mar 2026,2.16,16.62,26.02,17.84,14.42,11074.0,https://www.screener.in/company/KARURVYSYA/
T N Merc. Bank,12626.15,75.0,Mar 2021 -> Mar 2026,6.23,6.44,18.79,9.14,9.98,5819.0,https://www.screener.in/company/TMB/
CSB Bank,6397.29,-14.0,Mar 2021 -> Mar 2026,8.87,13.84,26.21,22.85,25.24,4505.0,https://www.screener.in/company/CSBBANK/
DCB Bank,6117.22,29.0,Mar 2021 -> Mar 2026,1.59,19.56,27.67,20.68,14.42,7404.0,https://www.screener.in/company/DCBBANK/
