symbol,week,week_ending,close,base_high,base_depth_pct,ext_above_pivot_pct,vol_mult,close_strength,ceiling_touches,tr_contraction,adtv_cr
BAJAJ-AUTO,2026-07-18/2026-07-24,2026-07-24,11130.0,10834.0,20.4,2.7,2.24,0.8,20,0.73,1952.89
MANAPPURAM,2026-07-18/2026-07-24,2026-07-24,352.95,347.9,29.5,1.5,1.54,0.88,19,0.76,515.44
KARURVYSYA,2026-07-18/2026-07-24,2026-07-24,338.9,325.9,21.6,4.0,7.84,0.83,20,0.41,374.2
UJJIVANSFB,2026-07-18/2026-07-24,2026-07-24,70.72,67.45,27.0,4.8,3.72,0.86,20,0.74,343.86
FLUOROCHEM,2026-07-18/2026-07-24,2026-07-24,4573.7,4169.9,29.9,9.7,2.97,0.86,20,0.54,230.29
MEDANTA,2026-07-18/2026-07-24,2026-07-24,1371.0,1369.7,30.2,0.1,1.65,0.68,19,0.68,128.74
TATVA,2026-07-18/2026-07-24,2026-07-24,1722.4,1460.1,28.5,18.0,23.98,0.76,20,0.76,31.36
COSMOFIRST,2026-07-18/2026-07-24,2026-07-24,881.0,874.8,33.7,0.7,1.74,0.71,18,0.7,31.2
STYRENIX,2026-07-18/2026-07-24,2026-07-24,2455.0,2440.2,27.1,0.6,5.46,0.74,20,0.57,25.71
MMFL,2026-07-18/2026-07-24,2026-07-24,551.85,534.0,31.7,3.3,1.55,0.75,20,0.82,20.71
JGCHEM,2026-07-18/2026-07-24,2026-07-24,505.35,464.25,33.9,8.9,10.32,0.75,17,0.77,18.7
SANATHAN,2026-07-18/2026-07-24,2026-07-24,483.0,480.0,26.5,0.6,3.07,0.68,20,0.62,5.41
