symbol,week,closed,stopped,weeks_held,rule_pct,mfe_pct,mae_pct,hold12_pct
KIRLOSENG,2023-03-04/2023-03-10,True,False,12,9.11,18.15,-4.53,9.11
MGL,2023-03-04/2023-03-10,True,True,2,-2.64,2.06,-2.95,5.22
CYIENT,2023-03-18/2023-03-24,True,False,12,47.71,51.45,-4.71,47.71
APTECHT,2023-04-01/2023-04-07,True,False,12,22.26,44.43,-1.71,22.26
IGL,2023-04-01/2023-04-07,True,False,12,0.85,9.88,-2.88,0.85
KSB,2023-04-01/2023-04-07,True,True,2,-3.6,1.99,-4.83,-4.31
APOLLOPIPE,2023-04-08/2023-04-14,True,False,12,22.67,28.46,-1.56,22.67
GRAUWEIL,2023-04-08/2023-04-14,True,True,3,-2.91,5.3,-5.17,-4.34
LINCOLN,2023-04-08/2023-04-14,True,True,3,-3.74,2.74,-4.62,2.09
CSBBANK,2023-04-15/2023-04-21,True,True,7,-4.72,5.25,-6.65,3.16
CYIENT,2023-04-15/2023-04-21,True,False,12,23.77,33.59,-1.92,23.77
GLENMARK,2023-04-15/2023-04-21,True,False,12,37.36,37.9,-0.73,37.36
KECL,2023-04-15/2023-04-21,True,False,12,13.12,34.37,-7.39,13.12
LUMAXTECH,2023-04-15/2023-04-21,True,True,2,-8.68,0.84,-10.75,18.31
MAGADSUGAR,2023-04-15/2023-04-21,True,True,3,-3.54,6.94,-4.08,10.17
RAMKY,2023-04-15/2023-04-21,True,True,7,-5.32,8.85,-8.03,4.96
TATAMTRDVR,2023-04-15/2023-04-21,True,False,12,37.92,41.13,-1.37,37.92
WABAG,2023-04-15/2023-04-21,True,False,12,32.46,33.12,-2.35,32.46
BANCOINDIA,2023-04-22/2023-04-28,True,False,12,26.52,29.99,-3.81,26.52
BANSWRAS,2023-04-22/2023-04-28,True,False,12,-5.55,17.03,-9.93,-5.55
BLKASHYAP,2023-04-22/2023-04-28,True,True,5,-4.96,10.17,-6.23,9.53
CCL,2023-04-22/2023-04-28,True,False,12,3.68,23.82,-7.28,3.68
CHENNPETRO,2023-04-22/2023-04-28,True,False,12,45.21,50.33,-4.56,45.21
GANECOS,2023-04-22/2023-04-28,True,True,4,-2.53,11.13,-4.9,3.52
GET&D,2023-04-22/2023-04-28,False,False,11,150.37,154.52,-2.69,
GLENMARK,2023-04-22/2023-04-28,True,False,12,33.77,34.1,-4.75,33.77
IRCON,2023-04-22/2023-04-28,True,False,12,24.2,26.87,-0.13,24.2
JASH,2023-04-22/2023-04-28,True,False,12,30.24,37.18,-1.99,30.24
KEI,2023-04-22/2023-04-28,True,False,12,33.51,46.32,-5.54,33.51
LUMAXIND,2023-04-22/2023-04-28,True,False,12,1.17,12.75,-14.27,1.17
NESTLEIND,2023-04-22/2023-04-28,True,False,12,5.42,7.32,-2.41,5.42
OFSS,2023-04-22/2023-04-28,True,True,2,-2.02,2.7,-5.72,6.39
ORIENTHOT,2023-04-22/2023-04-28,True,True,2,-0.39,7.87,-3.63,-1.49
THEMISMED,2023-04-22/2023-04-28,True,True,5,-7.44,7.15,-8.61,-4.22
WELSPUNIND,2023-04-22/2023-04-28,True,False,12,12.99,19.44,-1.13,12.99
ABB,2023-04-29/2023-05-05,True,False,12,21.13,23.76,-0.23,21.13
