Company,Market Cap (Rs Cr),Period,Sales Growth Y1 %,Sales Growth Y2 %,Sales Growth Y3 %,Latest Sales (Rs Cr),URL
TCS,820944.06,Mar 2023 -> Mar 2026,6.85,5.99,4.58,267021.0,https://www.screener.in/company/TCS/consolidated/
Infosys,444913.52,Mar 2023 -> Mar 2026,4.7,6.06,9.61,178650.0,https://www.screener.in/company/INFY/consolidated/
HCL Technologies,326698.14,Mar 2023 -> Mar 2026,8.34,6.5,11.18,130144.0,https://www.screener.in/company/HCLTECH/consolidated/
LTM,120890.99,Mar 2023 -> Mar 2026,7.03,7.01,11.31,42308.0,https://www.screener.in/company/LTM/consolidated/
Oracle Fin.Serv.,102492.61,Mar 2023 -> Mar 2026,11.85,7.44,12.05,7672.0,https://www.screener.in/company/OFSS/consolidated/
Persistent Systems,81776.02,Mar 2023 -> Mar 2026,17.61,21.55,23.53,14748.0,https://www.screener.in/company/PERSISTENT/consolidated/
Coforge,66775.48,Mar 2023 -> Mar 2026,12.4,33.77,36.11,16403.0,https://www.screener.in/company/COFORGE/consolidated/
Hexaware Tech.,34840.13,Dec 2022 -> Dec 2025,12.83,15.36,12.16,13430.0,https://www.screener.in/company/HEXT/consolidated/
Inventurus Knowl,32566.22,Mar 2023 -> Mar 2026,76.33,46.53,19.89,3194.0,https://www.screener.in/company/IKS/consolidated/
Tata Technolog.,30780.76,Mar 2023 -> Mar 2026,15.93,1.0,6.54,5506.0,https://www.screener.in/company/TATATECH/consolidated/
Netweb Technol.,24167.33,Mar 2023 -> Mar 2026,62.7,58.7,90.08,2184.0,https://www.screener.in/company/NETWEB/
Tata Elxsi,21824.78,Mar 2023 -> Mar 2026,12.94,4.98,0.75,3757.0,https://www.screener.in/company/TATAELXSI/
Affle 3i,21577.05,Mar 2023 -> Mar 2026,28.52,22.95,19.55,2709.0,https://www.screener.in/company/AFFLE/consolidated/
Sagility,19544.55,Mar 2023 -> Mar 2026,12.71,17.16,29.14,7193.0,https://www.screener.in/company/SAGILITY/consolidated/
KPIT Technologi.,15188.94,Mar 2023 -> Mar 2026,44.78,19.91,10.49,6455.0,https://www.screener.in/company/KPITTECH/consolidated/
Fractal Analyt.,14909.38,Mar 2023 -> Mar 2026,10.63,25.91,19.35,3300.0,https://www.screener.in/company/FRACTAL/consolidated/
Amagi Media Labs,12175.56,Mar 2023 -> Mar 2026,29.07,32.31,29.49,1506.0,https://www.screener.in/company/AMAGI/consolidated/
Zensar Tech.,11789.67,Mar 2023 -> Mar 2026,1.11,7.73,7.69,5687.0,https://www.screener.in/company/ZENSARTECH/consolidated/
Rategain Travel,11258.72,Mar 2023 -> Mar 2026,69.38,12.54,69.36,1824.0,https://www.screener.in/company/RATEGAIN/consolidated/
Sonata Software,8621.66,Mar 2023 -> Mar 2026,15.63,17.93,5.36,10701.0,https://www.screener.in/company/SONATSOFTW/consolidated/
E2E Networks,8324.35,Mar 2023 -> Mar 2026,42.42,74.47,50.0,246.0,https://www.screener.in/company/E2E/
Newgen Software,7803.14,Mar 2023 -> Mar 2026,27.72,19.53,5.85,1574.0,https://www.screener.in/company/NEWGEN/consolidated/
Tanla Platforms,7752.15,Mar 2023 -> Mar 2026,17.08,2.55,9.68,4418.0,https://www.screener.in/company/TANLA/consolidated/
C.E. Info System,6423.75,Mar 2023 -> Mar 2026,34.88,22.16,2.38,474.0,https://www.screener.in/company/MAPMYINDIA/consolidated/
Latent View,6287.42,Mar 2023 -> Mar 2026,18.92,32.29,25.0,1060.0,https://www.screener.in/company/LATENTVIEW/consolidated/
GNG Electronics,6190.83,Mar 2023 -> Mar 2026,72.16,23.99,34.02,1891.0,https://www.screener.in/company/EBGNG/consolidated/
Happiest Minds,5781.11,Mar 2023 -> Mar 2026,13.72,26.83,12.32,2315.0,https://www.screener.in/company/HAPPSTMNDS/consolidated/
Mastek,5495.49,Mar 2023 -> Mar 2026,19.2,13.09,7.06,3699.0,https://www.screener.in/company/MASTEK/consolidated/
Datamatics Glob.,5000.4,Mar 2023 -> Mar 2026,6.24,11.16,15.32,1987.0,https://www.screener.in/company/DATAMATICS/consolidated/
Rashi Peripheral,4840.0,Mar 2023 -> Mar 2026,17.36,24.14,14.91,15827.0,https://www.screener.in/company/RPTECH/consolidated/
Aurionpro Sol.,4683.15,Mar 2023 -> Mar 2026,34.6,32.24,20.29,1411.0,https://www.screener.in/company/AURIONPRO/consolidated/
Moschip Tech.,4669.22,Mar 2023 -> Mar 2026,48.48,58.84,25.27,585.0,https://www.screener.in/company/MOSCHIP/consolidated/
Capillary Tech.,3906.45,Mar 2023 -> Mar 2026,62.54,13.9,22.91,735.0,https://www.screener.in/company/CAPILLARY/consolidated/
eMudhra,3710.79,Mar 2023 -> Mar 2026,49.8,39.14,35.26,702.0,https://www.screener.in/company/EMUDHRA/consolidated/
R Systems Intl.,3022.63,Dec 2022 -> Dec 2025,11.15,3.38,12.4,1958.0,https://www.screener.in/company/RSYSTEMS/consolidated/
Ramco Systems,2965.56,Mar 2023 -> Mar 2026,6.91,12.36,18.61,701.0,https://www.screener.in/company/RAMCOSYS/consolidated/
