Company,Market Cap (Rs Cr),1Y Return %,Period,Sales Growth Y1 %,Sales Growth Y2 %,Sales Growth Y3 %,Sales Growth Y4 %,Sales Growth Y5 %,Latest Sales (Rs Cr),URL
Magellanic Cloud,1671.18,-66.0,Mar 2021 -> Mar 2026,19.34,68.77,31.38,6.95,16.33,698.0,https://www.screener.in/company/MCLOUD/consolidated/
KPIT Technologi.,15188.94,-57.0,Mar 2021 -> Mar 2026,19.45,38.36,44.78,19.91,10.49,6455.0,https://www.screener.in/company/KPITTECH/consolidated/
Zaggle Prepaid,2818.38,-49.0,Mar 2021 -> Mar 2026,54.58,49.06,40.33,67.91,42.21,1853.0,https://www.screener.in/company/ZAGGLE/
Genesys Intl.,1355.47,-49.0,Mar 2021 -> Mar 2026,50.0,50.83,9.39,57.07,5.47,328.0,https://www.screener.in/company/GENESYS/consolidated/
Aurionpro Sol.,4683.15,-46.0,Mar 2021 -> Mar 2026,35.03,30.5,34.6,32.24,20.29,1411.0,https://www.screener.in/company/AURIONPRO/consolidated/
eMudhra,3710.79,-45.0,Mar 2021 -> Mar 2026,38.64,36.07,49.8,39.14,35.26,702.0,https://www.screener.in/company/EMUDHRA/consolidated/
Tata Elxsi,21824.78,-43.0,Mar 2021 -> Mar 2026,35.32,27.28,12.94,4.98,0.75,3757.0,https://www.screener.in/company/TATAELXSI/
Newgen Software,7803.14,-43.0,Mar 2021 -> Mar 2026,15.75,25.03,27.72,19.53,5.85,1574.0,https://www.screener.in/company/NEWGEN/consolidated/
R Systems Intl.,3022.63,-43.0,Dec 2020 -> Dec 2025,31.21,31.14,11.15,3.38,12.4,1958.0,https://www.screener.in/company/RSYSTEMS/consolidated/
Happiest Minds,5781.11,-39.0,Mar 2021 -> Mar 2026,41.53,30.62,13.72,26.83,12.32,2315.0,https://www.screener.in/company/HAPPSTMNDS/consolidated/
Zensar Tech.,11789.67,-37.0,Mar 2021 -> Mar 2026,12.25,14.23,1.11,7.73,7.69,5687.0,https://www.screener.in/company/ZENSARTECH/consolidated/
Ceinsys Tech,1895.17,-37.0,Mar 2021 -> Mar 2026,9.73,8.37,15.0,65.22,58.13,661.0,https://www.screener.in/company/CEINSYS/consolidated/
C.E. Info System,6423.75,-35.0,Mar 2021 -> Mar 2026,31.58,40.5,34.88,22.16,2.38,474.0,https://www.screener.in/company/MAPMYINDIA/consolidated/
Hexaware Tech.,34840.13,-34.0,Dec 2020 -> Dec 2025,14.63,28.17,12.83,15.36,12.16,13430.0,https://www.screener.in/company/HEXT/consolidated/
Expleo Solutions,1229.78,-34.0,Mar 2021 -> Mar 2026,146.84,21.53,6.87,6.22,8.1,1108.0,https://www.screener.in/company/EXPLEOSOL/consolidated/
Infosys,444913.52,-31.0,Mar 2021 -> Mar 2026,21.07,20.66,4.7,6.06,9.61,178650.0,https://www.screener.in/company/INFY/consolidated/
Latent View,6287.42,-31.0,Mar 2021 -> Mar 2026,33.33,32.11,18.92,32.29,25.0,1060.0,https://www.screener.in/company/LATENTVIEW/consolidated/
Sonata Software,8621.66,-30.0,Mar 2021 -> Mar 2026,31.34,34.14,15.63,17.93,5.36,10701.0,https://www.screener.in/company/SONATSOFTW/consolidated/
TCS,820944.06,-29.0,Mar 2021 -> Mar 2026,16.8,17.58,6.85,5.99,4.58,267021.0,https://www.screener.in/company/TCS/consolidated/
Mastek,5495.49,-29.0,Mar 2021 -> Mar 2026,26.83,17.35,19.2,13.09,7.06,3699.0,https://www.screener.in/company/MASTEK/consolidated/
Control Print,1040.02,-25.0,Mar 2021 -> Mar 2026,25.49,18.75,18.09,18.38,13.41,482.0,https://www.screener.in/company/CONTROLPR/consolidated/
Saksoft,2373.46,-24.0,Mar 2021 -> Mar 2026,24.35,38.75,14.41,15.88,14.04,1007.0,https://www.screener.in/company/SAKSOFT/consolidated/
HCL Technologies,326698.14,-22.0,Mar 2021 -> Mar 2026,13.63,18.45,8.34,6.5,11.18,130144.0,https://www.screener.in/company/HCLTECH/consolidated/
LTM,120890.99,-20.0,Mar 2021 -> Mar 2026,111.07,27.09,7.03,7.01,11.31,42308.0,https://www.screener.in/company/LTM/consolidated/
Affle 3i,21577.05,-20.0,Mar 2021 -> Mar 2026,109.28,32.53,28.52,22.95,19.55,2709.0,https://www.screener.in/company/AFFLE/consolidated/
Coforge,66775.48,-19.0,Mar 2021 -> Mar 2026,37.94,24.61,12.4,33.77,36.11,16403.0,https://www.screener.in/company/COFORGE/consolidated/
D-Link India,1598.43,-14.0,Mar 2021 -> Mar 2026,26.27,28.65,4.66,11.97,13.15,1566.0,https://www.screener.in/company/DLINKINDIA/consolidated/
Technvision Ven.,2073.03,-12.0,Mar 2021 -> Mar 2026,37.93,26.67,26.97,18.13,17.98,269.0,https://www.screener.in/company/TECHNVISN/consolidated/
Tanla Platforms,7752.15,-11.0,Mar 2021 -> Mar 2026,36.95,4.65,17.08,2.55,9.68,4418.0,https://www.screener.in/company/TANLA/consolidated/
Persistent Systems,81776.02,-7.0,Mar 2021 -> Mar 2026,36.37,46.23,17.61,21.55,23.53,14748.0,https://www.screener.in/company/PERSISTENT/consolidated/
