Symbol,Score,Close,Week Return %,Vol Surge (x),Close Strength,4W Return %,12W Return %,RS vs Mkt 4W %,% From 52W High,Above 52W Low %,Vol Trend (4w/10w),ADTV (Rs cr/day),Gates Passed,Week Ending,Days In Week
GNA,97.3,592.0,24.53,10.01,0.93,43.29,37.9,42.25,-1.6,102.9,1.35,7.3,9/9,2026-07-16,4
FILATEX,96.9,73.1,17.43,16.48,0.82,33.25,76.53,32.21,-3.56,101.6,1.84,9.1,9/9,2026-07-16,4
CYIENTDLM,96.5,586.9,7.56,3.87,0.95,23.91,57.35,22.87,-0.69,121.3,1.59,12.9,9/9,2026-07-16,4
GABRIEL,93.4,1363.2,8.99,2.39,0.93,13.85,40.1,12.8,-1.79,71.3,1.16,39.0,9/9,2026-07-16,4
STYL,93.4,400.1,11.29,1.96,0.89,36.48,66.81,35.44,-8.54,91.3,1.03,6.5,9/9,2026-07-16,4
TBZ,93.3,256.03,12.13,8.95,0.64,35.55,75.15,34.51,-6.89,131.7,1.7,18.9,9/9,2026-07-16,4
WELCORP,91.7,1684.0,4.43,2.21,0.86,18.31,39.47,17.27,-0.87,137.2,1.41,133.3,9/9,2026-07-16,4
NEOGEN,91.6,2321.4,11.33,1.5,0.84,20.16,42.03,19.11,-2.22,140.1,1.14,25.0,9/9,2026-07-16,4
ORCHPHARMA,89.8,1078.95,6.56,3.17,0.67,10.2,90.34,9.16,-3.65,124.8,1.52,11.2,9/9,2026-07-16,4
GHCLTEXTIL,89.7,114.79,4.97,1.61,0.82,20.41,34.29,19.37,-1.47,75.9,1.15,5.9,9/9,2026-07-16,4
PICCADIL,89.5,740.55,10.23,3.8,0.82,27.9,18.0,26.86,-8.06,43.8,1.39,6.8,9/9,2026-07-16,4
ARMANFIN,88.9,1961.8,8.21,3.44,0.63,15.8,31.74,14.75,-5.19,54.5,1.12,6.8,9/9,2026-07-16,4
VADILALIND,88.9,6782.0,5.8,2.18,0.69,11.03,53.0,9.99,-3.07,69.7,0.54,10.5,9/9,2026-07-16,4
OPTIEMUS,87.7,583.25,7.8,1.56,0.83,32.3,44.76,31.26,-18.2,102.5,1.51,11.6,9/9,2026-07-16,4
SPORTKING,87.6,198.51,8.69,3.67,0.63,8.43,44.77,7.39,-5.43,153.9,1.02,7.1,9/9,2026-07-16,4
CHENNPETRO,87.5,1240.8,5.09,3.05,0.78,13.03,19.88,11.98,-3.04,99.9,1.17,113.3,9/9,2026-07-16,4
BHEL,87.4,435.4,10.16,2.0,0.89,5.08,29.05,4.04,-1.27,112.3,1.22,513.3,9/9,2026-07-16,4
