Symbol,Score,Close,Week Return %,Vol Surge (x),Close Strength,4W Return %,12W Return %,RS vs Mkt 4W %,% From 52W High,Above 52W Low %,Vol Trend (4w/10w),ADTV (Rs cr/day),Gates Passed,Week Ending,Days In Week
DIACABS,97.8,295.15,32.72,2.97,0.95,43.08,87.04,43.78,-1.29,155.4,1.21,97.0,9/9,2026-07-24,5
GANDHAR,97.3,282.46,35.84,19.95,0.78,61.27,103.6,61.96,-6.83,145.6,1.73,18.6,9/9,2026-07-24,5
SOTL,96.7,645.75,11.29,7.25,0.8,22.31,78.43,23.01,-3.13,125.9,0.86,17.0,9/9,2026-07-24,5
TATVA,96.1,1722.4,20.61,22.72,0.76,45.88,31.38,46.57,-3.51,76.4,2.05,6.8,9/9,2026-07-24,5
SGMART,95.5,713.55,12.22,6.39,0.95,21.21,24.96,21.9,-0.62,127.9,2.03,13.3,9/9,2026-07-24,5
PANAMAPET,95.0,498.25,19.18,2.15,0.8,23.07,78.07,23.76,-3.91,117.6,0.35,15.8,9/9,2026-07-24,5
JINDWORLD,94.9,37.83,17.48,17.31,0.78,22.67,46.06,23.36,-9.15,111.9,1.72,9.3,9/9,2026-07-24,5
UJJIVANSFB,94.4,70.72,9.0,4.39,0.86,25.97,24.33,26.66,-2.1,71.2,1.66,59.9,9/9,2026-07-24,5
CYIENTDLM,94.1,670.45,15.86,11.84,0.61,44.18,70.55,44.88,-8.78,152.8,2.0,12.9,9/9,2026-07-24,5
BLUESTONE,94.0,772.4,28.94,47.85,0.64,44.87,53.18,45.57,-11.17,93.2,2.18,24.8,9/9,2026-07-24,5
SHAREINDIA,93.5,191.57,8.09,4.87,0.78,41.7,39.37,42.4,-9.21,66.1,2.31,5.7,9/9,2026-07-24,5
FLUOROCHEM,93.5,4573.7,10.35,2.56,0.86,17.0,26.98,17.69,-1.56,56.8,1.4,57.2,9/9,2026-07-24,5
BLSE,93.4,282.32,2.9,4.31,0.84,25.33,42.9,26.02,-1.87,127.1,1.85,9.6,9/9,2026-07-24,5
SSWL,93.2,288.31,8.3,2.25,0.75,25.42,35.54,26.12,-2.6,70.6,1.69,19.3,9/9,2026-07-24,5
AEGISVOPAK,93.1,292.64,7.89,2.68,0.7,25.49,54.33,26.19,-6.05,85.2,1.74,26.8,9/9,2026-07-24,5
LOTUSDEV,92.3,180.39,28.9,21.24,0.99,19.71,26.04,20.4,-17.44,76.5,1.98,7.2,9/9,2026-07-24,5
KARURVYSYA,92.2,338.9,9.39,9.8,0.83,16.66,15.47,17.35,-2.59,67.9,1.76,69.5,9/9,2026-07-24,5
SGFIN,92.1,696.05,10.28,4.53,0.72,18.55,22.59,19.24,-3.81,115.5,2.09,12.5,9/9,2026-07-24,5
TARSONS,90.3,312.75,8.8,10.27,0.68,20.74,42.21,21.43,-18.15,90.2,0.94,5.4,9/9,2026-07-24,5
MANAPPURAM,89.6,352.95,8.45,1.56,0.88,10.82,19.91,11.51,-1.05,44.0,1.12,115.2,9/9,2026-07-24,5
NELCO,88.9,932.8,7.57,2.05,0.77,8.08,32.55,8.77,-6.14,86.5,0.56,16.5,9/9,2026-07-24,5
BAJAJ-AUTO,87.9,11130.0,6.58,2.16,0.8,13.08,11.37,13.77,-1.77,41.6,1.17,390.9,9/9,2026-07-24,5
POLYPLEX,87.3,1128.95,4.77,1.96,0.68,14.7,19.31,15.39,-4.32,52.6,0.66,9.9,9/9,2026-07-24,5
JKPAPER,87.3,401.45,8.63,8.25,0.64,17.42,11.44,18.11,-9.75,31.7,1.65,12.1,9/9,2026-07-24,5
WSTCSTPAPR,86.4,553.55,6.37,2.66,0.62,11.41,14.46,12.1,-4.75,47.6,1.54,8.9,9/9,2026-07-24,5
ASKAUTOLTD,86.2,509.3,5.64,2.25,0.92,9.57,15.76,10.27,-11.96,35.7,1.55,7.3,9/9,2026-07-24,5
TIPSMUSIC,85.5,699.45,4.55,14.97,0.68,9.66,7.66,10.35,-5.61,45.4,1.95,17.5,9/9,2026-07-24,5
LXCHEM,85.2,182.28,6.12,4.33,0.67,16.85,26.29,17.55,-24.37,69.4,0.71,11.2,9/9,2026-07-24,5
RICOAUTO,83.9,139.07,9.1,1.82,0.82,3.21,22.92,3.91,-11.42,111.6,0.51,37.0,9/9,2026-07-24,5
ACE,83.6,1039.4,5.27,5.17,0.66,5.19,17.1,5.88,-11.16,39.5,1.41,37.5,9/9,2026-07-24,5
MANALIPETC,83.4,66.77,8.09,1.73,0.71,5.1,24.97,5.79,-13.96,70.6,0.38,5.2,9/9,2026-07-24,5
COSMOFIRST,83.2,881.0,5.5,2.3,0.71,9.64,23.43,10.33,-22.54,57.1,0.76,7.1,9/9,2026-07-24,5
MEDANTA,83.2,1371.0,4.11,1.64,0.68,4.47,22.71,5.16,-5.87,43.4,0.78,25.0,9/9,2026-07-24,5
DATAPATTNS,82.3,4584.5,12.21,2.59,0.73,1.73,12.32,2.42,-7.49,115.1,0.88,387.4,9/9,2026-07-24,5
STYRENIX,81.3,2455.0,9.82,7.09,0.74,5.17,8.59,5.86,-19.77,37.9,1.52,6.0,9/9,2026-07-24,5
WENDT,80.4,8074.5,6.47,1.87,0.78,6.81,16.41,7.51,-23.72,38.2,0.78,6.6,9/9,2026-07-24,5
PPLPHARMA,77.3,181.27,1.03,1.82,0.6,8.1,11.98,8.79,-13.89,37.0,0.82,66.0,9/9,2026-07-24,5
